Freq(MHz);Theta;Phi;Data(dB)
5500;30;0;-29,77
5500;30;15;-37,91
5500;30;30;-37,9
5500;30;45;-40,33
5500;30;60;-34,39
5500;30;75;-33,47
5500;30;90;-30,78
5500;30;105;-30,13
5500;30;120;-27,06
5500;30;135;-27,15
5500;30;150;-24,66
5500;30;165;-28,19
5500;30;180;-25,02
5500;30;195;-31,84
5500;30;210;-33,54
5500;30;225;-46,64
5500;30;240;-40,02
5500;30;255;-40,92
5500;30;270;-38,75
5500;30;285;-40,66
5500;30;300;-30,86
5500;30;315;-34,59
5500;30;330;-30,58
5500;30;345;-30,29
5500;45;0;-27,89
5500;45;15;-30,46
5500;45;30;-33,05
5500;45;45;-41,36
5500;45;60;-37,72
5500;45;75;-35,41
5500;45;90;-38,17
5500;45;105;-34,02
5500;45;120;-28,43
5500;45;135;-29,79
5500;45;150;-24,96
5500;45;165;-26,9
5500;45;180;-32,18
5500;45;195;-37,34
5500;45;210;-37,17
5500;45;225;-41,77
5500;45;240;-37,62
5500;45;255;-36,05
5500;45;270;-37,09
5500;45;285;-36,64
5500;45;300;-35,46
5500;45;315;-32,78
5500;45;330;-26,03
5500;45;345;-28,01
5500;60;0;-26,46
5500;60;15;-31,24
5500;60;30;-36,08
5500;60;45;-44,44
5500;60;60;-34,4
5500;60;75;-41,34
5500;60;90;-34,67
5500;60;105;-30,21
5500;60;120;-28,05
5500;60;135;-27,04
5500;60;150;-27,71
5500;60;165;-32,31
5500;60;180;-30,31
5500;60;195;-33,25
5500;60;210;-34,3
5500;60;225;-38,3
5500;60;240;-37,54
5500;60;255;-39,11
5500;60;270;-37,71
5500;60;285;-41,58
5500;60;300;-36,85
5500;60;315;-30,28
5500;60;330;-24,68
5500;60;345;-29,32
5500;75;0;-28,62
5500;75;15;-34,55
5500;75;30;-48,77
5500;75;45;-36,02
5500;75;60;-33,24
5500;75;75;-39,39
5500;75;90;-34,68
5500;75;105;-32,61
5500;75;120;-32,6
5500;75;135;-28,43
5500;75;150;-30,79
5500;75;165;-31,52
5500;75;180;-25,29
5500;75;195;-27,56
5500;75;210;-28,54
5500;75;225;-36,45
5500;75;240;-35,75
5500;75;255;-41,96
5500;75;270;-39,37
5500;75;285;-49,18
5500;75;300;-35,86
5500;75;315;-35,16
5500;75;330;-26,62
5500;75;345;-29,01
5500;90;0;-48,25
5500;90;15;-49,88
5500;90;30;-39,29
5500;90;45;-34,91
5500;90;60;-31,55
5500;90;75;-44,09
5500;90;90;-28,92
5500;90;105;-37,69
5500;90;120;-26,46
5500;90;135;-29,24
5500;90;150;-30,87
5500;90;165;-26,62
5500;90;180;-23,62
5500;90;195;-28,84
5500;90;210;-29,76
5500;90;225;-37,21
5500;90;240;-44,23
5500;90;255;-46,59
5500;90;270;-41,07
5500;90;285;-38,08
5500;90;300;-37,54
5500;90;315;-34,75
5500;90;330;-30,09
5500;90;345;-34,07
5500;105;0;-34,59
5500;105;15;-34,2
5500;105;30;-36,07
5500;105;45;-34,43
5500;105;60;-35,5
5500;105;75;-34,31
5500;105;90;-28,27
5500;105;105;-41,34
5500;105;120;-30,26
5500;105;135;-38,7
5500;105;150;-34
5500;105;165;-29,98
5500;105;180;-28,4
5500;105;195;-29,25
5500;105;210;-29,19
5500;105;225;-33,61
5500;105;240;-36,8
5500;105;255;-38,39
5500;105;270;-42,79
5500;105;285;-37,9
5500;105;300;-37,43
5500;105;315;-34,05
5500;105;330;-39,07
5500;105;345;-37,18
5500;120;0;-30,19
5500;120;15;-33,46
5500;120;30;-32,28
5500;120;45;-36,73
5500;120;60;-38,84
5500;120;75;-33,68
5500;120;90;-42,85
5500;120;105;-37,1
5500;120;120;-30,71
5500;120;135;-36,75
5500;120;150;-39,18
5500;120;165;-36,54
5500;120;180;-31,6
5500;120;195;-33,66
5500;120;210;-35,55
5500;120;225;-43,93
5500;120;240;-42,45
5500;120;255;-43,5
5500;120;270;-43,4
5500;120;285;-34,52
5500;120;300;-29,4
5500;120;315;-32,85
5500;120;330;-31,7
5500;120;345;-38,87
5500;135;0;-32,01
5500;135;15;-34,57
5500;135;30;-42,39
5500;135;45;-39,8
5500;135;60;-32
5500;135;75;-37,88
5500;135;90;-39,04
5500;135;105;-37,94
5500;135;120;-39,45
5500;135;135;-37,06
5500;135;150;-34,92
5500;135;165;-40,03
5500;135;180;-37,56
